hmE	foE	foF2	hmF1	hmF2	NmE	   NmF2		    M(3000)F2
100	2.65	5.6	170	245	9.70E+10	4.64E+11	370	3.7
110	2.84	6.4	180	235	9.97E+10	4.77E+11	380	3.8
110	2.67	5.3	170	215	8.87E+10	4.38E+11	390	3.9
95	3	6.2	205	245	1.07E+11 5.61E+11	360	3.6
110	2.9	5.7	205	230	1.05E+11 5.78E+11	340	3.4
105	2.65	5.2	185	245	1.01E+11	5.85E+11	355	3.55
110	3.15	7.2	195	245	1.23E+11	7.38E+11	345	3.45
110	3.08	7.2	180	240	1.18E+11	7.64E+11	360	3.6
110	3.11	6.9	235	250	1.20E+11	7.92E+11	345	3.45
105	3.55	7.2	240	255	1.22E+11	8.25E+11	355	3.55
110	2.88	6.3	190	250	1.03E+11	8.12E+11	350	3.5
115	3.55	7	205	275	1.25E+11	7.83E+11	335	3.35
110	3.15	6.4	225	270	1.01E+11	6.99E+11	340	3.4
105	3.6	5.9	210	310	1.28E+11	6.45E+11	325	3.25
100	3.65	5.5	210	315	1.35E+11	5.58E+11	325	3.25
105	3.45	5.9	190	315	1.28E+11	5.18E+11	315	3.15
110	3.3	5.7	205	305	1.36E+11	4.52E+11	320	3.2
110	3.05	5.4	195	305	1.07E+11	4.51E+11	310	3.1
110	3.24	5.4	195	345	1.30E+11	4.20E+11	305	3.05
110	1.97	4.7	200	320	4.83E+10	4.51E+11	310	3.1
130	3.6	5.4	235	270	1.10E+11	4.14E+11	355	3.55
110	3.26	5.3	200	365	1.32E+11	4.15E+11	305	3.05
165	3.7	5	210	390	1.29E+11	4.24E+11	295	2.95
100	3.4	5.3	100	355	1.25E+11	4.65E+11	365	3.65
100	3.2	5.3	220	315	1.14E+11	5.13E+11	315	3.15
100	3.3	6.3	190	270	1.17E+11	5.52E+11	355	3.55
110	2.9	6.3	185	285	1.07E+11	6.20E+11	335	3.35
115	2.7	5.3	180	245	1.14E+11	7.01E+11	360	3.6
105	2.9	6.4	165	245	1.02E+11	7.71E+11	360	3.6
100	3.2	6.6	180	255	1.16E+11	6.76E+11	365	3.65
105	3	7.5	205	245	1.03E+11	6.40E+11	345	3.45
110	2.7	5.3	140	230	9.42E+10	5.61E+11	375	3.75
120	2.9	5.5	200	250	9.49E+10	5.16E+11	355	3.55
110	2.7	6.1	200	230	9.06E+10	4.61E+11	375	3.75
105	3	6.3	185	255	1.03E+11	4.41E+11	355	3.55
105	2.65	5	155	225	9.12E+10	4.22E+11	355	3.55

