foE	foF2	hmF1	hmF2	NmE	NmF2
2.725	6.446	145	212.9	9.21E+10	5.15E+11
2.773	6.393	145	214.6	9.53E+10	5.07E+11
2.824	6.615	145	215.7	9.89E+10	5.43E+11
2.884	6.859	146.5	216.2	1.03E+11	5.83E+11
2.934	7.085	144.6	217	1.07E+11	6.23E+11
2.984	7.409	147.7	224.3	1.10E+11	6.81E+11
3.019	7.658	148.9	229.4	1.13E+11	7.27E+11
3.062	7.815	151.1	235.4	1.16E+11	7.57E+11
3.093	7.928	153.4	241.6	1.19E+11	7.79E+11
3.124	8.054	153.8	246.5	1.21E+11	8.04E+11
3.142	8.163	154.8	251.5	1.22E+11	8.26E+11
3.161	8.027	157.3	255.6	1.24E+11	7.99E+11
3.177	7.788	161	259.1	1.25E+11	7.52E+11
3.19	7.601	162	259.8	1.26E+11	7.16E+11
3.201	7.308	162.8	258.2	1.27E+11	6.62E+11
3.21	6.986	166.3	258	1.28E+11	6.05E+11
3.216	6.694	169	256.4	1.28E+11	5.56E+11
3.221	6.598	171.1	256.6	1.29E+11	5.40E+11
3.223	6.503	173.3	256.5	1.29E+11	5.24E+11
3.219	6.408	176.4	257	1.28E+11	5.09E+11
3.209	6.456	175	255	1.28E+11	5.17E+11
3.191	6.524	175.9	255.2	1.26E+11	5.28E+11
3.168	6.556	174.2	251.9	1.24E+11	5.33E+11
3.136	6.711	173.2	250.7	1.22E+11	5.58E+11
3.092	6.885	172.8	249.5	1.19E+11	5.88E+11
3.044	6.926	174.3	248.5	1.15E=11	5.95E+11
2.99	7.484	168.5	244.6	1.11E+11	6.94E+11
2.927	7.932	162.6	238.8	1.06E+11	7.80E+11
2.864	8.595	153.7	230.5	1.02E+11	8.38E+11
2.8	8.339	153	223	9.72E+10	8.62E+11
2.736	7.658	150	218.6	9.28E+10	7.27E+11
2.688	7.315	148	213.2	8.96E+10	6.63E+11
2.653	6.854	147	210.3	8.73E+10	5.82E+11
6.634	6.536	146	207.1	8.61E+10	5.30E+11
2.635	5.931	145	204.2	8.61E+10	4.36E+11
2.655	5.995	145	206.2	8.74E+10	4.46E+11
